timestamp,mn.vnf_1,mn.vnf_1_cpu_use,mn.vnf_1_ram_use,mn.vnf_2,mn.vnf_2_cpu_use,mn.vnf_2_ram_use,mn.vnf_3,mn.vnf_3_cpu_use,mn.vnf_3_ram_use,mn.vnf_4,mn.vnf_4_cpu_use,mn.vnf_4_ram_use
2025-03-06 17:06:55,mn.vnf_1,0.26,56.72,mn.vnf_2,0.25,56.74,mn.vnf_3,0.25,56.69,mn.vnf_4,0.26,56.71
2025-03-06 17:06:57,mn.vnf_1,0.23,56.72,mn.vnf_2,0.22,56.74,mn.vnf_3,0.24,56.69,mn.vnf_4,0.25,56.71
2025-03-06 17:06:59,mn.vnf_1,0.2,56.72,mn.vnf_2,0.2,56.74,mn.vnf_3,0.21,56.69,mn.vnf_4,0.22,56.71
2025-03-06 17:07:01,mn.vnf_1,0.2,56.72,mn.vnf_2,0.2,56.74,mn.vnf_3,0.21,56.69,mn.vnf_4,0.2,56.71
2025-03-06 17:07:03,mn.vnf_1,0.19,56.72,mn.vnf_2,0.21,56.74,mn.vnf_3,0.19,56.69,mn.vnf_4,0.25,56.71
2025-03-06 17:07:05,mn.vnf_1,0.19,56.72,mn.vnf_2,0.18,56.74,mn.vnf_3,0.2,56.69,mn.vnf_4,0.24,56.71
2025-03-06 17:07:08,mn.vnf_1,0.18,56.72,mn.vnf_2,0.16,56.74,mn.vnf_3,0.18,56.69,mn.vnf_4,0.18,56.71
2025-03-06 17:07:10,mn.vnf_1,0.24,56.72,mn.vnf_2,0.23,56.74,mn.vnf_3,0.24,56.69,mn.vnf_4,0.19,56.71
2025-03-06 17:07:12,mn.vnf_1,0.25,56.75,mn.vnf_2,0.25,56.74,mn.vnf_3,0.24,56.75,mn.vnf_4,0.23,56.74
2025-03-06 17:07:14,mn.vnf_1,0.29,56.75,mn.vnf_2,0.27,56.74,mn.vnf_3,0.3,56.75,mn.vnf_4,0.19,56.74
2025-03-06 17:07:16,mn.vnf_1,6.55,64.82,mn.vnf_2,0.17,56.74,mn.vnf_3,6.45,61.79,mn.vnf_4,0.63,56.75
2025-03-06 17:07:18,mn.vnf_1,2.29,67.9,mn.vnf_2,0.19,56.74,mn.vnf_3,0.39,62.73,mn.vnf_4,4.99,62.52
2025-03-06 17:07:20,mn.vnf_1,0.22,67.86,mn.vnf_2,0.25,56.74,mn.vnf_3,0.25,62.73,mn.vnf_4,0.39,63.46
2025-03-06 17:07:22,mn.vnf_1,0.19,67.86,mn.vnf_2,0.21,56.74,mn.vnf_3,0.23,62.73,mn.vnf_4,0.19,63.46
2025-03-06 17:07:24,mn.vnf_1,0.22,67.86,mn.vnf_2,0.23,56.74,mn.vnf_3,0.22,62.73,mn.vnf_4,0.21,63.46
2025-03-06 17:07:26,mn.vnf_1,0.22,67.86,mn.vnf_2,0.21,56.74,mn.vnf_3,0.24,62.73,mn.vnf_4,0.2,63.46
2025-03-06 17:07:28,mn.vnf_1,0.23,67.86,mn.vnf_2,0.24,56.74,mn.vnf_3,0.2,62.73,mn.vnf_4,0.18,63.46
2025-03-06 17:07:30,mn.vnf_1,0.21,67.86,mn.vnf_2,0.23,56.74,mn.vnf_3,0.21,62.73,mn.vnf_4,0.19,63.46
2025-03-06 17:07:32,mn.vnf_1,0.25,67.86,mn.vnf_2,0.21,56.74,mn.vnf_3,0.23,62.73,mn.vnf_4,0.22,63.46
2025-03-06 17:07:34,mn.vnf_1,0.2,67.86,mn.vnf_2,0.23,56.74,mn.vnf_3,0.26,62.73,mn.vnf_4,0.25,63.46
2025-03-06 17:07:36,mn.vnf_1,0.23,67.86,mn.vnf_2,0.22,56.74,mn.vnf_3,0.24,62.73,mn.vnf_4,0.2,63.46
