SOLVER_TIME,SOLVER_RESUALT,SOLVER_RESUALT_NODE,SOLVER_RESUALT_LINK,SOLVER_ACTIONS,SOLVER_REWARD,LEARN_LR,LEARN_LOSS,LEARN_ACTOR_LOSS,LEARN_CRITIC_LOSS,LEARN_ENTROPY_LOSS,LEARN_LOGPROB,LEARN_RETURN
1.0,True,True,True,"[np.int64(11), np.int64(3), np.int64(14), np.int64(13), np.int64(13), np.int64(21), np.int64(10), np.int64(28)]",8,,,,,,,
3.0,True,True,True,"[np.int64(4), np.int64(5), np.int64(29), np.int64(8), np.int64(9), np.int64(11), np.int64(9), np.int64(9), np.int64(10), np.int64(14)]",9.100000000000003,,,,,,,
4.0,True,True,True,"[np.int64(3), np.int64(17), np.int64(22), np.int64(26), np.int64(2), np.int64(10), np.int64(3), np.int64(9), np.int64(22), np.int64(28)]",9.600000000000001,,,,,,,
6.0,True,True,True,"[np.int64(2), np.int64(2), np.int64(10), np.int64(19), np.int64(8), np.int64(3), np.int64(24), np.int64(18), np.int64(25)]",6.222222222222232,,,,,,,
6.0,True,True,True,"[np.int64(24), np.int64(23), np.int64(28), np.int64(4), np.int64(22), np.int64(2), np.int64(3), np.int64(26), np.int64(9), np.int64(16)]",8.800000000000004,,,,,,,
7.0,True,True,True,"[np.int64(9), np.int64(16), np.int64(24), np.int64(9), np.int64(24), np.int64(4)]",6,,,,,,,
7.0,True,True,True,"[np.int64(24), np.int64(4), np.int64(3), np.int64(9), np.int64(19), np.int64(5), np.int64(16), np.int64(10)]",8,,,,,,,
8.0,True,True,True,"[np.int64(2), np.int64(4), np.int64(9), np.int64(25), np.int64(14), np.int64(2)]",6,,,,,,,
8.0,True,True,True,"[np.int64(18), np.int64(15), np.int64(6), np.int64(15), np.int64(25), np.int64(25), np.int64(1), np.int64(14), np.int64(17)]",9,,,,,,,
9.0,False,True,False,"[np.int64(2), np.int64(3), np.int64(2), np.int64(2)]",-5.499999999999999,,,,,,,
