Event,Time,SfcId,Result,Resource,Vnffgs,Reason
I,0.0,,,"[np.int64(600), np.int64(600), np.int64(22800)]",,
+,1.0,0,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,3.0,1,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,4.0,2,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,6.0,3,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,6.0,4,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,7.0,5,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,7.0,6,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,8.0,7,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,8.0,8,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,8.414492690722048,0,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],
+,9.0,9,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,10.0,10,False,"[np.int64(600), np.int64(600), np.int64(22800)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,10.0,11,True,"[np.int64(557), np.int64(573), np.int64(21656)]",[11],
+,10.0,12,False,"[np.int64(557), np.int64(573), np.int64(21656)]",[11],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,10.0,13,False,"[np.int64(557), np.int64(573), np.int64(21656)]",[11],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,10.0,14,False,"[np.int64(557), np.int64(573), np.int64(21656)]",[11],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,10.83466263413607,1,False,"[np.int64(557), np.int64(573), np.int64(21656)]",[11],
-,11.494099578518533,3,False,"[np.int64(557), np.int64(573), np.int64(21656)]",[11],
