Event,Time,SfcId,Result,Resource,Vnffgs,Reason
I,0.0,,,"[14505, 24000000, 1094902]",,
+,2.0,0,False,"[14505, 24000000, 1094902]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,4.0,1,True,"[14480.51449688806, 23999999.560445063, 1094855.4261437126]",[1],
+,7.0,2,True,"[14453.885869176394, 23999999.093214814, 1094810.1986638624]","[1, 2]",
+,9.0,3,True,"[14427.337401894869, 23999998.412407722, 1094775.242720796]","[1, 2, 3]",
+,9.0,4,True,"[14406.776530582454, 23999998.087426968, 1094740.0037667127]","[1, 2, 3, 4]",
+,12.0,5,True,"[14396.597256047322, 23999997.66586738, 1122645.5293650294]","[1, 2, 3, 4, 5]",
+,14.0,6,False,"[14396.597256047322, 23999997.66586738, 1122645.5293650294]","[1, 2, 3, 4, 5]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,16.0,7,True,"[14372.170157093571, 23999997.05488666, 1122608.1683633525]","[1, 2, 3, 4, 5, 7]",
+,19.0,8,True,"[14338.334308666928, 23999996.491325594, 1122541.7259197757]","[1, 2, 3, 4, 5, 7, 8]",
+,20.0,9,True,"[14323.010875143815, 23999996.068382327, 1122511.734136979]","[1, 2, 3, 4, 5, 7, 8, 9]",
t,20.0,1,True,"[14323.010875143815, 23999996.068382327, 1122038.7857931354]","[1, 2, 3, 4, 5, 7, 8, 9]",
t,20.0,2,True,"[14323.010875143815, 23999996.068382327, 1122007.2141305776]","[1, 2, 3, 4, 5, 7, 8, 9]",
t,20.0,5,True,"[14323.010875143815, 23999996.068382327, 1121999.778685174]","[1, 2, 3, 4, 5, 7, 8, 9]",
t,20.0,8,True,"[14323.010875143815, 23999996.068382327, 1121968.7263240672]","[1, 2, 3, 4, 5, 7, 8, 9]",
t,20.0,9,True,"[14323.010875143817, 23999996.06838233, 1121958.167913954]","[1, 2, 3, 4, 5, 7, 8, 9]",
+,24.0,10,False,"[14323.010875143817, 23999996.06838233, 1121958.167913954]","[1, 2, 3, 4, 5, 7, 8, 9]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,24.0,11,True,"[14295.609268838987, 23999995.712946936, 1121894.6030370751]","[1, 2, 3, 4, 5, 7, 8, 9, 11]",
+,28.0,12,True,"[14280.869756072692, 23999995.353661876, 1121857.4365083692]","[1, 2, 3, 4, 5, 7, 8, 9, 11, 12]",
