Event,Time,SfcId,Result,Resource,Vnffgs,Reason
I,0.0,,,"[14505, 24000000, 1094902]",,
+,2.0,0,False,"[14505, 24000000, 1094902]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,4.0,1,False,"[14505, 24000000, 1094902]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,7.0,2,False,"[14505, 24000000, 1094902]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,9.0,3,False,"[14505, 24000000, 1094902]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,9.0,4,False,"[14505, 24000000, 1094902]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,12.0,5,False,"[14505, 24000000, 1122834]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,14.0,6,False,"[14505, 24000000, 1122834]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,16.0,7,False,"[14505, 24000000, 1122834]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,19.0,8,False,"[14505, 24000000, 1122834]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,20.0,9,False,"[14505, 24000000, 1122834]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,24.0,10,False,"[14505, 24000000, 1122318]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,24.0,11,True,"[14477.598393695172, 23999999.64456461, 1122168.423661664]",[11],
+,28.0,12,False,"[14477.598393695172, 23999999.64456461, 1122168.423661664]",[11],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,29.0,13,False,"[14477.598393695172, 23999999.64456461, 1122168.423661664]",[11],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,29.28557669035761,3,False,"[14477.598393695172, 23999999.64456461, 1122168.423661664]",[11],
+,30.0,14,False,"[14477.598393695172, 23999999.64456461, 1122168.423661664]",[11],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,30.0,15,False,"[14477.598393695172, 23999999.64456461, 1122168.423661664]",[11],SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
t,30.0,11,True,"[14477.598393695172, 23999999.644564603, 1126859.1481895528]",[11],
+,33.0,16,False,"[14477.598393695172, 23999999.644564603, 1126859.1481895528]",[11],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,35.75753727182664,9,False,"[14477.598393695172, 23999999.644564603, 1126859.1481895528]",[11],
