Event,Time,SfcId,Result,Resource,Vnffgs,Reason
I,0.0,,,"[np.int32(14239), np.int32(24000000), np.int32(1084720)]",,
+,1.0,0,False,"[np.int32(14239), np.int32(24000000), np.int32(1084720)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,1,False,"[np.int32(14239), np.int32(24000000), np.int32(1084720)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,2,False,"[np.int32(14239), np.int32(24000000), np.int32(1084720)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,3,False,"[np.int32(14239), np.int32(24000000), np.int32(1084720)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,4,False,"[np.int32(14239), np.int32(24000000), np.int32(1084720)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,5,True,"[np.float64(14229.006809023194), np.float64(23999999.536483623), np.float64(1084683.837221826)]",[5],
+,1.0,6,True,"[np.float64(14202.624715210326), np.float64(23999998.911252923), np.float64(1084591.798984278)]","[5, 6]",
+,1.0,7,True,"[np.float64(14164.03101888291), np.float64(23999998.091712058), np.float64(1084460.6010803108)]","[5, 6, 7]",
+,1.0,8,False,"[np.float64(14164.03101888291), np.float64(23999998.091712058), np.float64(1084460.6010803108)]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,9,False,"[np.float64(14164.03101888291), np.float64(23999998.091712058), np.float64(1084460.6010803108)]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,10,False,"[np.float64(14164.03101888291), np.float64(23999998.091712058), np.float64(1084460.6010803108)]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,11,False,"[np.float64(14164.03101888291), np.float64(23999998.091712058), np.float64(1084460.6010803108)]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,12,False,"[np.float64(14164.03101888291), np.float64(23999998.091712058), np.float64(1084460.6010803108)]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,13,False,"[np.float64(14164.03101888291), np.float64(23999998.091712058), np.float64(1084460.6010803108)]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,14,False,"[np.float64(14164.03101888291), np.float64(23999998.091712058), np.float64(1084460.6010803108)]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,15,False,"[np.float64(14164.03101888291), np.float64(23999998.091712058), np.float64(1084460.6010803108)]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,16,False,"[np.float64(14164.03101888291), np.float64(23999998.091712058), np.float64(1084460.6010803108)]","[5, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
