Event,Time,SfcId,Result,Resource,Vnffgs,Reason
I,0.0,,,"[14239, 24000000, 1084720]",,
+,1.0,0,False,"[14239, 24000000, 1084720]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,1,False,"[14239, 24000000, 1084720]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,2,False,"[14239, 24000000, 1084720]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,3,False,"[14239, 24000000, 1084720]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,4,False,"[14239, 24000000, 1084720]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,5,False,"[14239, 24000000, 1084720]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,6,True,"[14212.617906187133, 23999999.374769304, 1084604.7342784917]",[6],
+,1.0,7,False,"[14212.617906187133, 23999999.374769304, 1084604.7342784917]",[6],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,8,False,"[14212.617906187133, 23999999.374769304, 1084604.7342784917]",[6],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,9,False,"[14212.617906187133, 23999999.374769304, 1084604.7342784917]",[6],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,10,False,"[14212.617906187133, 23999999.374769304, 1084604.7342784917]",[6],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,11,False,"[14212.617906187133, 23999999.374769304, 1084604.7342784917]",[6],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,12,False,"[14212.617906187133, 23999999.374769304, 1084604.7342784917]",[6],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,13,False,"[14212.617906187133, 23999999.374769304, 1084604.7342784917]",[6],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,14,True,"[14204.217437851046, 23999999.114122104, 1084562.2129135942]","[6, 14]",
+,1.0,15,False,"[14204.217437851046, 23999999.114122104, 1084562.2129135942]","[6, 14]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,16,False,"[14204.217437851046, 23999999.114122104, 1084562.2129135942]","[6, 14]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,17,False,"[14204.217437851046, 23999999.114122104, 1084562.2129135942]","[6, 14]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,18,False,"[14204.217437851046, 23999999.114122104, 1084562.2129135942]","[6, 14]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,19,False,"[14204.217437851046, 23999999.114122104, 1084562.2129135942]","[6, 14]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,20,False,"[14204.217437851046, 23999999.114122104, 1084562.2129135942]","[6, 14]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,21,False,"[14204.217437851046, 23999999.114122104, 1084562.2129135942]","[6, 14]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,22,True,"[14188.968215557945, 23999998.88460822, 1084517.3451826593]","[6, 14, 22]",
+,1.0,23,True,"[14179.173187197697, 23999998.533396583, 1084465.7919600136]","[6, 14, 22, 23]",
+,1.0,24,False,"[14179.173187197697, 23999998.533396583, 1084465.7919600136]","[6, 14, 22, 23]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,25,True,"[14170.679458646397, 23999998.275152337, 1084424.3262034873]","[6, 14, 22, 23, 25]",
+,1.0,26,False,"[14170.679458646397, 23999998.275152337, 1084424.3262034873]","[6, 14, 22, 23, 25]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,27,True,"[14147.277142722438, 23999997.95219508, 1084305.300629371]","[6, 14, 22, 23, 25, 27]",
+,1.0,28,False,"[14147.277142722438, 23999997.95219508, 1084305.300629371]","[6, 14, 22, 23, 25, 27]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,29,True,"[14119.494402879363, 23999997.583579022, 1084224.0677872293]","[6, 14, 22, 23, 25, 27, 29]",
+,1.0,30,False,"[14119.494402879363, 23999997.583579022, 1084224.0677872293]","[6, 14, 22, 23, 25, 27, 29]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,31,False,"[14119.494402879363, 23999997.583579022, 1084224.0677872293]","[6, 14, 22, 23, 25, 27, 29]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,32,True,"[14094.596363236604, 23999997.270485435, 1084117.9989639763]","[6, 14, 22, 23, 25, 27, 29, 32]",
