Event,Time,SfcId,Result,Resource,Vnffgs,Reason
I,0.0,,,"[13810, 24000000, 1092906]",,
+,1.0,0,True,"[13798.605711761375, 23999999.471512295, 1092878.5937970406]",[0],
+,1.0,1,True,"[13795.806124849376, 23999999.346615832, 1092872.5188823813]","[0, 1]",
+,1.0,2,False,"[13795.806124849376, 23999999.346615832, 1092872.5188823813]","[0, 1]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,3,False,"[13795.806124849376, 23999999.346615832, 1092872.5188823813]","[0, 1]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,4,True,"[13771.948406342044, 23999998.888374075, 1092747.9636511772]","[0, 1, 4]",
+,1.0,5,False,"[13771.948406342044, 23999998.888374075, 1092747.9636511772]","[0, 1, 4]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,6,False,"[13771.948406342044, 23999998.888374075, 1092747.9636511772]","[0, 1, 4]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,7,False,"[13771.948406342044, 23999998.888374075, 1092747.9636511772]","[0, 1, 4]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,8,False,"[13771.948406342044, 23999998.888374075, 1092747.9636511772]","[0, 1, 4]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,9,False,"[13771.948406342044, 23999998.888374075, 1092747.9636511772]","[0, 1, 4]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,10,False,"[13771.948406342044, 23999998.888374075, 1092747.9636511772]","[0, 1, 4]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,11,False,"[13771.948406342044, 23999998.888374075, 1092747.9636511772]","[0, 1, 4]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,12,True,"[13733.104277644807, 23999998.43946655, 1092543.6761950536]","[0, 1, 4, 12]",
+,1.0,13,False,"[13733.104277644807, 23999998.43946655, 1092543.6761950536]","[0, 1, 4, 12]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,14,False,"[13733.104277644807, 23999998.43946655, 1092543.6761950536]","[0, 1, 4, 12]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,15,False,"[13733.104277644807, 23999998.43946655, 1092543.6761950536]","[0, 1, 4, 12]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,16,True,"[13714.949571357442, 23999997.958720237, 1092469.598747503]","[0, 1, 4, 12, 16]",
+,1.0,17,False,"[13714.949571357442, 23999997.958720237, 1092469.598747503]","[0, 1, 4, 12, 16]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,18,False,"[13714.949571357442, 23999997.958720237, 1092469.598747503]","[0, 1, 4, 12, 16]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,19,False,"[13714.949571357442, 23999997.958720237, 1092469.598747503]","[0, 1, 4, 12, 16]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,20,True,"[13677.725986432966, 23999997.541423842, 1092286.0995237208]","[0, 1, 4, 12, 16, 20]",
+,1.0,21,False,"[13677.725986432966, 23999997.541423842, 1092286.0995237208]","[0, 1, 4, 12, 16, 20]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,22,False,"[13677.725986432966, 23999997.541423842, 1092286.0995237208]","[0, 1, 4, 12, 16, 20]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,23,False,"[13677.725986432966, 23999997.541423842, 1092286.0995237208]","[0, 1, 4, 12, 16, 20]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,24,False,"[13677.725986432966, 23999997.541423842, 1092286.0995237208]","[0, 1, 4, 12, 16, 20]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,25,False,"[13677.725986432966, 23999997.541423842, 1092286.0995237208]","[0, 1, 4, 12, 16, 20]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,26,False,"[13677.725986432966, 23999997.541423842, 1092286.0995237208]","[0, 1, 4, 12, 16, 20]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,27,True,"[13655.192350734049, 23999996.97511209, 1092180.453086693]","[0, 1, 4, 12, 16, 20, 27]",
+,1.0,28,False,"[13655.192350734049, 23999996.97511209, 1092180.453086693]","[0, 1, 4, 12, 16, 20, 27]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,29,False,"[13655.192350734049, 23999996.97511209, 1092180.453086693]","[0, 1, 4, 12, 16, 20, 27]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,30,False,"[13655.192350734049, 23999996.97511209, 1092180.453086693]","[0, 1, 4, 12, 16, 20, 27]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,31,False,"[13655.192350734049, 23999996.97511209, 1092180.453086693]","[0, 1, 4, 12, 16, 20, 27]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,32,False,"[13655.192350734049, 23999996.97511209, 1092180.453086693]","[0, 1, 4, 12, 16, 20, 27]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,33,False,"[13655.192350734049, 23999996.97511209, 1092180.453086693]","[0, 1, 4, 12, 16, 20, 27]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,34,False,"[13655.192350734049, 23999996.97511209, 1092180.453086693]","[0, 1, 4, 12, 16, 20, 27]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,35,True,"[13624.471507495175, 23999996.595000207, 1092030.4818701954]","[0, 1, 4, 12, 16, 20, 27, 35]",
+,1.0,36,False,"[13624.471507495175, 23999996.595000207, 1092030.4818701954]","[0, 1, 4, 12, 16, 20, 27, 35]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,37,False,"[13624.471507495175, 23999996.595000207, 1092030.4818701954]","[0, 1, 4, 12, 16, 20, 27, 35]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,38,False,"[13624.471507495175, 23999996.595000207, 1092030.4818701954]","[0, 1, 4, 12, 16, 20, 27, 35]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,39,False,"[13624.471507495175, 23999996.595000207, 1092030.4818701954]","[0, 1, 4, 12, 16, 20, 27, 35]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,40,False,"[13624.471507495175, 23999996.595000207, 1092030.4818701954]","[0, 1, 4, 12, 16, 20, 27, 35]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
