Event,Time,SfcId,Result,Resource,Vnffgs,Reason
I,0.0,,,"[13810, 24000000, 1092906]",,
+,1.0,0,False,"[13810, 24000000, 1092906]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,1,False,"[13810, 24000000, 1092906]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,2,True,"[13798.986217031243, 23999999.629442323, 1092847.3997062356]",[2],
+,1.0,3,False,"[13798.986217031243, 23999999.629442323, 1092847.3997062356]",[2],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,4,False,"[13798.986217031243, 23999999.629442323, 1092847.3997062356]",[2],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,5,False,"[13798.986217031243, 23999999.629442323, 1092847.3997062356]",[2],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,6,False,"[13798.986217031243, 23999999.629442323, 1092847.3997062356]",[2],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,7,True,"[13777.920692721758, 23999999.36099305, 1092775.6278031685]","[2, 7]",
+,1.0,8,True,"[13753.678833300184, 23999998.952922303, 1092677.417751383]","[2, 7, 8]",
+,1.0,9,False,"[13753.678833300184, 23999998.952922303, 1092677.417751383]","[2, 7, 8]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,10,False,"[13753.678833300184, 23999998.952922303, 1092677.417751383]","[2, 7, 8]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,11,False,"[13753.678833300184, 23999998.952922303, 1092677.417751383]","[2, 7, 8]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,12,True,"[13731.129250582695, 23999998.725379836, 1092567.6149680316]","[2, 7, 8, 12]",
+,1.0,13,True,"[13712.847451888478, 23999998.397567496, 1092488.5719482568]","[2, 7, 8, 12, 13]",
+,1.0,14,False,"[13712.847451888478, 23999998.397567496, 1092488.5719482568]","[2, 7, 8, 12, 13]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,15,False,"[13712.847451888478, 23999998.397567496, 1092488.5719482568]","[2, 7, 8, 12, 13]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,16,False,"[13712.847451888478, 23999998.397567496, 1092488.5719482568]","[2, 7, 8, 12, 13]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,17,True,"[13699.826286370931, 23999997.979543146, 1092432.0717215706]","[2, 7, 8, 12, 13, 17]",
+,1.0,18,False,"[13699.826286370931, 23999997.979543146, 1092432.0717215706]","[2, 7, 8, 12, 13, 17]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,19,False,"[13699.826286370931, 23999997.979543146, 1092432.0717215706]","[2, 7, 8, 12, 13, 17]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,20,False,"[13699.826286370931, 23999997.979543146, 1092432.0717215706]","[2, 7, 8, 12, 13, 17]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,21,False,"[13699.826286370931, 23999997.979543146, 1092432.0717215706]","[2, 7, 8, 12, 13, 17]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,22,False,"[13699.826286370931, 23999997.979543146, 1092432.0717215706]","[2, 7, 8, 12, 13, 17]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,23,True,"[13690.960291363119, 23999997.504221857, 1092408.944333943]","[2, 7, 8, 12, 13, 17, 23]",
+,1.0,24,False,"[13690.960291363119, 23999997.504221857, 1092408.944333943]","[2, 7, 8, 12, 13, 17, 23]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,25,False,"[13690.960291363119, 23999997.504221857, 1092408.944333943]","[2, 7, 8, 12, 13, 17, 23]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,26,False,"[13690.960291363119, 23999997.504221857, 1092408.944333943]","[2, 7, 8, 12, 13, 17, 23]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,27,False,"[13690.960291363119, 23999997.504221857, 1092408.944333943]","[2, 7, 8, 12, 13, 17, 23]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,28,False,"[13690.960291363119, 23999997.504221857, 1092408.944333943]","[2, 7, 8, 12, 13, 17, 23]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,29,False,"[13690.960291363119, 23999997.504221857, 1092408.944333943]","[2, 7, 8, 12, 13, 17, 23]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,30,False,"[13690.960291363119, 23999997.504221857, 1092408.944333943]","[2, 7, 8, 12, 13, 17, 23]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,31,True,"[13679.995562691267, 23999997.15234514, 1092358.9076112853]","[2, 7, 8, 12, 13, 17, 23, 31]",
+,1.0,32,False,"[13679.995562691267, 23999997.15234514, 1092358.9076112853]","[2, 7, 8, 12, 13, 17, 23, 31]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,33,False,"[13679.995562691267, 23999997.15234514, 1092358.9076112853]","[2, 7, 8, 12, 13, 17, 23, 31]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,34,False,"[13679.995562691267, 23999997.15234514, 1092358.9076112853]","[2, 7, 8, 12, 13, 17, 23, 31]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,35,False,"[13679.995562691267, 23999997.15234514, 1092358.9076112853]","[2, 7, 8, 12, 13, 17, 23, 31]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,36,False,"[13679.995562691267, 23999997.15234514, 1092358.9076112853]","[2, 7, 8, 12, 13, 17, 23, 31]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,37,False,"[13679.995562691267, 23999997.15234514, 1092358.9076112853]","[2, 7, 8, 12, 13, 17, 23, 31]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,38,True,"[13653.803409784594, 23999996.890331507, 1092251.6105202436]","[2, 7, 8, 12, 13, 17, 23, 31, 38]",
+,1.0,39,False,"[13653.803409784594, 23999996.890331507, 1092251.6105202436]","[2, 7, 8, 12, 13, 17, 23, 31, 38]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,40,False,"[13653.803409784594, 23999996.890331507, 1092251.6105202436]","[2, 7, 8, 12, 13, 17, 23, 31, 38]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,41,False,"[13653.803409784594, 23999996.890331507, 1092251.6105202436]","[2, 7, 8, 12, 13, 17, 23, 31, 38]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,42,False,"[13653.803409784594, 23999996.890331507, 1092251.6105202436]","[2, 7, 8, 12, 13, 17, 23, 31, 38]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,43,False,"[13653.803409784594, 23999996.890331507, 1092251.6105202436]","[2, 7, 8, 12, 13, 17, 23, 31, 38]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,44,True,"[13631.437724309775, 23999996.462668113, 1092158.9716369305]","[2, 7, 8, 12, 13, 17, 23, 31, 38, 44]",
+,1.0,45,False,"[13631.437724309775, 23999996.462668113, 1092158.9716369305]","[2, 7, 8, 12, 13, 17, 23, 31, 38, 44]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,46,False,"[13631.437724309775, 23999996.462668113, 1092158.9716369305]","[2, 7, 8, 12, 13, 17, 23, 31, 38, 44]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,47,False,"[13631.437724309775, 23999996.462668113, 1092158.9716369305]","[2, 7, 8, 12, 13, 17, 23, 31, 38, 44]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,48,False,"[13631.437724309775, 23999996.462668113, 1092158.9716369305]","[2, 7, 8, 12, 13, 17, 23, 31, 38, 44]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,49,False,"[13631.437724309775, 23999996.462668113, 1092158.9716369305]","[2, 7, 8, 12, 13, 17, 23, 31, 38, 44]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,50,False,"[13631.437724309775, 23999996.462668113, 1092158.9716369305]","[2, 7, 8, 12, 13, 17, 23, 31, 38, 44]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,51,False,"[13631.437724309775, 23999996.462668113, 1092158.9716369305]","[2, 7, 8, 12, 13, 17, 23, 31, 38, 44]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,52,False,"[13631.437724309775, 23999996.462668113, 1092158.9716369305]","[2, 7, 8, 12, 13, 17, 23, 31, 38, 44]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,53,False,"[13631.437724309775, 23999996.462668113, 1092158.9716369305]","[2, 7, 8, 12, 13, 17, 23, 31, 38, 44]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,54,False,"[13631.437724309775, 23999996.462668113, 1092158.9716369305]","[2, 7, 8, 12, 13, 17, 23, 31, 38, 44]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,55,True,"[13622.317171378032, 23999996.248768635, 1092117.6930347686]","[2, 7, 8, 12, 13, 17, 23, 31, 38, 44, 55]",
