SOLVER_TIME,SOLVER_RESUALT,SOLVER_RESUALT_NODE,SOLVER_RESUALT_LINK,SOLVER_ACTIONS,SOLVER_REWARD,LEARN_LR,LEARN_LOSS,LEARN_ACTOR_LOSS,LEARN_CRITIC_LOSS,LEARN_ENTROPY_LOSS,LEARN_LOGPROB,LEARN_RETURN
1.0,True,True,True,"[np.int64(24), np.int64(14), np.int64(24), np.int64(7), np.int64(5), np.int64(27), np.int64(5), np.int64(29)]",8,,,,,,,
1.0,True,True,True,"[np.int64(29), np.int64(29), np.int64(11), np.int64(7), np.int64(27), np.int64(13), np.int64(26), np.int64(5), np.int64(3)]",7.44444444444445,,,,,,,
1.0,True,True,True,"[np.int64(29), np.int64(23), np.int64(29), np.int64(14), np.int64(26)]",5,,,,,,,
1.0,True,True,True,"[np.int64(23), np.int64(13), np.int64(3), np.int64(20), np.int64(26), np.int64(2), np.int64(26), np.int64(26)]",7.625,,,,,,,
1.0,True,True,True,"[np.int64(14), np.int64(2), np.int64(26), np.int64(22), np.int64(9), np.int64(14), np.int64(8)]",6.285714285714285,,,,,,,
1.0,True,True,True,"[np.int64(29), np.int64(7), np.int64(9), np.int64(29), np.int64(7)]",4.8,,,,,,,
1.0,False,True,False,"[np.int64(7), np.int64(29), np.int64(29), np.int64(9), np.int64(29)]",-4.428571428571427,,,,,,,
1.0,True,True,True,"[np.int64(5), np.int64(29), np.int64(29), np.int64(9), np.int64(5), np.int64(5), np.int64(5)]",6.857142857142858,,,,,,,
1.0,True,True,True,"[np.int64(14), np.int64(14), np.int64(11), np.int64(24), np.int64(27), np.int64(7), np.int64(13), np.int64(13), np.int64(27)]",9,,,,,,,
1.0,True,True,True,"[np.int64(11), np.int64(7), np.int64(27), np.int64(11), np.int64(26), np.int64(2), np.int64(14), np.int64(26), np.int64(11), np.int64(20)]",8.500000000000005,,,,,,,
1.0,True,True,True,"[np.int64(5), np.int64(27), np.int64(11), np.int64(7), np.int64(7), np.int64(7), np.int64(8), np.int64(5)]",6.125,,,,,,,
,,,,,,0.001,3.0461252,-0.012570652,6.061306,2.804281,-2.6488037,2.6073015
1.0,False,True,False,"[np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3)]",-4.333333333333331,,,,,,,
1.0,True,True,True,"[np.int64(9), np.int64(26), np.int64(14), np.int64(28), np.int64(13)]",2.9999999999999982,,,,,,,
1.0,True,True,True,"[np.int64(11), np.int64(27), np.int64(27), np.int64(27), np.int64(11), np.int64(11)]",2.6666666666666665,,,,,,,
1.0,False,True,False,"[np.int64(7), np.int64(26), np.int64(9), np.int64(26), np.int64(14), np.int64(14), np.int64(23), np.int64(23), np.int64(23)]",-0.1999999999999972,,,,,,,
1.0,True,True,True,"[np.int64(16), np.int64(21), np.int64(26), np.int64(22), np.int64(18), np.int64(28), np.int64(24)]",5.142857142857143,,,,,,,
1.0,True,True,True,"[np.int64(27), np.int64(9), np.int64(23), np.int64(13), np.int64(24), np.int64(26), np.int64(23), np.int64(23), np.int64(24), np.int64(13)]",6.3000000000000105,,,,,,,
1.0,True,True,True,"[np.int64(27), np.int64(9), np.int64(9), np.int64(9), np.int64(21), np.int64(23), np.int64(23)]",4.142857142857144,,,,,,,
,,,,,,0.001,0.93816954,0.07413516,1.6765848,2.5741956,-2.7614584,1.1755688
1.0,True,True,True,"[np.int64(9), np.int64(23), np.int64(14), np.int64(14), np.int64(14)]",3.0,,,,,,,
1.0,True,True,True,"[np.int64(14), np.int64(26), np.int64(26), np.int64(26), np.int64(15)]",1.8000000000000003,,,,,,,
1.0,False,True,False,"[np.int64(23), np.int64(26), np.int64(23), np.int64(26)]",-5.571428571428572,,,,,,,
1.0,False,True,False,"[np.int64(26), np.int64(23), np.int64(26)]",-6.77777777777777,,,,,,,
1.0,False,True,False,"[np.int64(23), np.int64(26), np.int64(23)]",-6.799999999999994,,,,,,,
1.0,True,True,True,"[np.int64(26), np.int64(23), np.int64(23), np.int64(26), np.int64(24), np.int64(13), np.int64(12), np.int64(13)]",3.875,,,,,,,
1.0,False,True,False,"[np.int64(26), np.int64(8), np.int64(24), np.int64(11), np.int64(24), np.int64(24), np.int64(24)]",-2.3333333333333295,,,,,,,
1.0,False,True,False,"[np.int64(13), np.int64(13), np.int64(22), np.int64(20), np.int64(11), np.int64(11), np.int64(22), np.int64(22), np.int64(22)]",-0.19999999999999454,,,,,,,
1.0,True,True,True,"[np.int64(12), np.int64(24), np.int64(13), np.int64(11), np.int64(8), np.int64(16)]",-1.6666666666666652,,,,,,,
,,,,,,0.001,1.037669,0.0696308,1.8848768,2.55997,-2.5081427,0.2591111
1.0,False,True,False,"[np.int64(23), np.int64(26)]",-7.875,,,,,,,
1.0,False,True,False,"[np.int64(12), np.int64(10), np.int64(10), np.int64(8), np.int64(8)]",-4.555555555555556,,,,,,,
1.0,False,True,False,"[np.int64(26), np.int64(23), np.int64(26), np.int64(8)]",-5.499999999999999,,,,,,,
1.0,False,True,False,"[np.int64(14), np.int64(23), np.int64(26)]",-6.799999999999994,,,,,,,
1.0,False,True,False,"[np.int64(26), np.int64(23), np.int64(23), np.int64(26)]",-5.625,,,,,,,
1.0,False,True,False,"[np.int64(14), np.int64(4), np.int64(2), np.int64(15), np.int64(15), np.int64(23), np.int64(26)]",-2.4000000000000052,,,,,,,
1.0,True,True,True,"[np.int64(20), np.int64(10), np.int64(28), np.int64(22), np.int64(22), np.int64(22), np.int64(19)]",1.5714285714285738,,,,,,,
1.0,False,True,False,"[np.int64(22), np.int64(19), np.int64(28), np.int64(23), np.int64(26), np.int64(23)]",-3.375,,,,,,,
