Event,Time,SfcId,Result,Resource,Vnffgs,Reason
I,0.0,,,"[np.int64(600), np.int64(600), np.int64(24000)]",,
+,1.0,0,True,"[np.int64(588), np.int64(584), np.int64(22312)]",[0],
+,1.0,1,False,"[np.int64(588), np.int64(584), np.int64(22312)]",[0],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,2,False,"[np.int64(588), np.int64(584), np.int64(22312)]",[0],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,3,True,"[np.int64(572), np.int64(566), np.int64(20634)]","[0, 3]",
+,1.0,4,False,"[np.int64(572), np.int64(566), np.int64(20634)]","[0, 3]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,5,True,"[np.int64(553), np.int64(548), np.int64(18960)]","[0, 3, 5]",
+,1.0,6,False,"[np.int64(553), np.int64(548), np.int64(18960)]","[0, 3, 5]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,7,True,"[np.int64(540), np.int64(532), np.int64(18213)]","[0, 3, 5, 7]",
+,1.0,8,True,"[np.int64(514), np.int64(503), np.int64(17004)]","[0, 3, 5, 7, 8]",
+,1.0,9,False,"[np.int64(514), np.int64(503), np.int64(17004)]","[0, 3, 5, 7, 8]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,10,False,"[np.int64(514), np.int64(503), np.int64(17004)]","[0, 3, 5, 7, 8]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,11,False,"[np.int64(514), np.int64(503), np.int64(17004)]","[0, 3, 5, 7, 8]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,12,False,"[np.int64(514), np.int64(503), np.int64(17004)]","[0, 3, 5, 7, 8]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,13,False,"[np.int64(514), np.int64(503), np.int64(17004)]","[0, 3, 5, 7, 8]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_RAM
+,1.0,14,False,"[np.int64(514), np.int64(503), np.int64(17004)]","[0, 3, 5, 7, 8]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,15,True,"[np.int64(501), np.int64(486), np.int64(16666)]","[0, 3, 5, 7, 8, 15]",
+,1.0,16,True,"[np.int64(487), np.int64(473), np.int64(16249)]","[0, 3, 5, 7, 8, 15, 16]",
+,1.0,17,True,"[np.int64(475), np.int64(457), np.int64(15839)]","[0, 3, 5, 7, 8, 15, 16, 17]",
+,1.0,18,False,"[np.int64(475), np.int64(457), np.int64(15839)]","[0, 3, 5, 7, 8, 15, 16, 17]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,19,False,"[np.int64(475), np.int64(457), np.int64(15839)]","[0, 3, 5, 7, 8, 15, 16, 17]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,20,False,"[np.int64(475), np.int64(457), np.int64(15839)]","[0, 3, 5, 7, 8, 15, 16, 17]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,21,False,"[np.int64(475), np.int64(457), np.int64(15839)]","[0, 3, 5, 7, 8, 15, 16, 17]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,22,True,"[np.int64(451), np.int64(431), np.int64(14995)]","[0, 3, 5, 7, 8, 15, 16, 17, 22]",
+,1.0,23,False,"[np.int64(451), np.int64(431), np.int64(14995)]","[0, 3, 5, 7, 8, 15, 16, 17, 22]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_RAM
+,1.0,24,True,"[np.int64(426), np.int64(404), np.int64(14157)]","[0, 3, 5, 7, 8, 15, 16, 17, 22, 24]",
+,1.0,25,False,"[np.int64(426), np.int64(404), np.int64(14157)]","[0, 3, 5, 7, 8, 15, 16, 17, 22, 24]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,26,True,"[np.int64(411), np.int64(389), np.int64(13668)]","[0, 3, 5, 7, 8, 15, 16, 17, 22, 24, 26]",
+,1.0,27,False,"[np.int64(411), np.int64(389), np.int64(13668)]","[0, 3, 5, 7, 8, 15, 16, 17, 22, 24, 26]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,28,False,"[np.int64(411), np.int64(389), np.int64(13668)]","[0, 3, 5, 7, 8, 15, 16, 17, 22, 24, 26]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_RAM
+,1.0,29,False,"[np.int64(411), np.int64(389), np.int64(13668)]","[0, 3, 5, 7, 8, 15, 16, 17, 22, 24, 26]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,30,False,"[np.int64(411), np.int64(389), np.int64(13668)]","[0, 3, 5, 7, 8, 15, 16, 17, 22, 24, 26]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,31,False,"[np.int64(411), np.int64(389), np.int64(13668)]","[0, 3, 5, 7, 8, 15, 16, 17, 22, 24, 26]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,32,True,"[np.int64(397), np.int64(371), np.int64(13438)]","[0, 3, 5, 7, 8, 15, 16, 17, 22, 24, 26, 32]",
+,1.0,33,True,"[np.int64(375), np.int64(347), np.int64(12482)]","[0, 3, 5, 7, 8, 15, 16, 17, 22, 24, 26, 32, 33]",
+,1.0,34,False,"[np.int64(375), np.int64(347), np.int64(12482)]","[0, 3, 5, 7, 8, 15, 16, 17, 22, 24, 26, 32, 33]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_RAM
+,1.0,35,True,"[np.int64(358), np.int64(334), np.int64(12034)]","[0, 3, 5, 7, 8, 15, 16, 17, 22, 24, 26, 32, 33, 35]",
+,1.0,36,False,"[np.int64(358), np.int64(334), np.int64(12034)]","[0, 3, 5, 7, 8, 15, 16, 17, 22, 24, 26, 32, 33, 35]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,37,False,"[np.int64(358), np.int64(334), np.int64(12034)]","[0, 3, 5, 7, 8, 15, 16, 17, 22, 24, 26, 32, 33, 35]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,38,False,"[np.int64(358), np.int64(334), np.int64(12034)]","[0, 3, 5, 7, 8, 15, 16, 17, 22, 24, 26, 32, 33, 35]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_RAM
