Event,Time,SfcId,Result,Resource,Vnffgs,Reason
I,0.0,,,"[np.int64(600), np.int64(600), np.int64(22000)]",,
+,1.0,0,True,"[np.int64(570), np.int64(577), np.int64(20577)]",[0],
+,1.0,1,True,"[np.int64(529), np.int64(544), np.int64(17987)]","[0, 1]",
+,1.0,2,False,"[np.int64(529), np.int64(544), np.int64(17987)]","[0, 1]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,3,True,"[np.int64(498), np.int64(522), np.int64(16704)]","[0, 1, 3]",
+,1.0,4,True,"[np.int64(474), np.int64(500), np.int64(16233)]","[0, 1, 3, 4]",
+,1.0,5,False,"[np.int64(474), np.int64(500), np.int64(16233)]","[0, 1, 3, 4]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,6,True,"[np.int64(455), np.int64(484), np.int64(15545)]","[0, 1, 3, 4, 6]",
+,1.0,7,True,"[np.int64(423), np.int64(454), np.int64(14361)]","[0, 1, 3, 4, 6, 7]",
+,1.0,8,False,"[np.int64(423), np.int64(454), np.int64(14361)]","[0, 1, 3, 4, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,9,False,"[np.int64(423), np.int64(454), np.int64(14361)]","[0, 1, 3, 4, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,10,False,"[np.int64(423), np.int64(454), np.int64(14361)]","[0, 1, 3, 4, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,11,False,"[np.int64(423), np.int64(454), np.int64(14361)]","[0, 1, 3, 4, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,12,False,"[np.int64(423), np.int64(454), np.int64(14361)]","[0, 1, 3, 4, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,13,False,"[np.int64(423), np.int64(454), np.int64(14361)]","[0, 1, 3, 4, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,14,False,"[np.int64(423), np.int64(454), np.int64(14361)]","[0, 1, 3, 4, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,15,False,"[np.int64(423), np.int64(454), np.int64(14361)]","[0, 1, 3, 4, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,16,False,"[np.int64(423), np.int64(454), np.int64(14361)]","[0, 1, 3, 4, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,17,False,"[np.int64(423), np.int64(454), np.int64(14361)]","[0, 1, 3, 4, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,18,False,"[np.int64(423), np.int64(454), np.int64(14361)]","[0, 1, 3, 4, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,19,False,"[np.int64(423), np.int64(454), np.int64(14361)]","[0, 1, 3, 4, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,20,False,"[np.int64(423), np.int64(454), np.int64(14361)]","[0, 1, 3, 4, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,21,False,"[np.int64(423), np.int64(454), np.int64(14361)]","[0, 1, 3, 4, 6, 7]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,22,True,"[np.int64(399), np.int64(433), np.int64(13781)]","[0, 1, 3, 4, 6, 7, 22]",
+,1.0,23,False,"[np.int64(399), np.int64(433), np.int64(13781)]","[0, 1, 3, 4, 6, 7, 22]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,24,False,"[np.int64(399), np.int64(433), np.int64(13781)]","[0, 1, 3, 4, 6, 7, 22]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,25,False,"[np.int64(399), np.int64(433), np.int64(13781)]","[0, 1, 3, 4, 6, 7, 22]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_RAM
+,1.0,26,True,"[np.int64(374), np.int64(414), np.int64(13370)]","[0, 1, 3, 4, 6, 7, 22, 26]",
+,1.0,27,False,"[np.int64(374), np.int64(414), np.int64(13370)]","[0, 1, 3, 4, 6, 7, 22, 26]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,28,False,"[np.int64(374), np.int64(414), np.int64(13370)]","[0, 1, 3, 4, 6, 7, 22, 26]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,29,False,"[np.int64(374), np.int64(414), np.int64(13370)]","[0, 1, 3, 4, 6, 7, 22, 26]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,30,False,"[np.int64(374), np.int64(414), np.int64(13370)]","[0, 1, 3, 4, 6, 7, 22, 26]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,31,False,"[np.int64(374), np.int64(414), np.int64(13370)]","[0, 1, 3, 4, 6, 7, 22, 26]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,32,False,"[np.int64(374), np.int64(414), np.int64(13370)]","[0, 1, 3, 4, 6, 7, 22, 26]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,33,False,"[np.int64(374), np.int64(414), np.int64(13370)]","[0, 1, 3, 4, 6, 7, 22, 26]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,34,False,"[np.int64(374), np.int64(414), np.int64(13370)]","[0, 1, 3, 4, 6, 7, 22, 26]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,35,False,"[np.int64(374), np.int64(414), np.int64(13370)]","[0, 1, 3, 4, 6, 7, 22, 26]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,36,False,"[np.int64(374), np.int64(414), np.int64(13370)]","[0, 1, 3, 4, 6, 7, 22, 26]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
+,1.0,37,False,"[np.int64(374), np.int64(414), np.int64(13370)]","[0, 1, 3, 4, 6, 7, 22, 26]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,38,False,"[np.int64(374), np.int64(414), np.int64(13370)]","[0, 1, 3, 4, 6, 7, 22, 26]",SOLUTION_TYPE.SET_FAILED_FOR_NODE_CPU
