Event,Time,SfcId,Result,Resource,Vnffgs,Reason
I,0.0,,,"[np.int64(600), np.int64(600), np.int64(25200)]",,
+,1.0,0,False,"[np.int64(600), np.int64(600), np.int64(25200)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,1,False,"[np.int64(600), np.int64(600), np.int64(25200)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,2,False,"[np.int64(600), np.int64(600), np.int64(25200)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,3,False,"[np.int64(600), np.int64(600), np.int64(25200)]",[],SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,4,True,"[np.int64(587), np.int64(586), np.int64(23932)]",[4],
+,1.0,5,True,"[np.int64(569), np.int64(574), np.int64(23444)]","[4, 5]",
+,1.0,6,False,"[np.int64(569), np.int64(574), np.int64(23444)]","[4, 5]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,7,False,"[np.int64(569), np.int64(574), np.int64(23444)]","[4, 5]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,8,False,"[np.int64(569), np.int64(574), np.int64(23444)]","[4, 5]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,9,True,"[np.int64(551), np.int64(559), np.int64(22584)]","[4, 5, 9]",
+,1.0,10,False,"[np.int64(551), np.int64(559), np.int64(22584)]","[4, 5, 9]",SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,1.0,11,False,"[np.int64(551), np.int64(559), np.int64(22584)]","[4, 5, 9]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,12,False,"[np.int64(551), np.int64(559), np.int64(22584)]","[4, 5, 9]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,13,False,"[np.int64(551), np.int64(559), np.int64(22584)]","[4, 5, 9]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,14,False,"[np.int64(551), np.int64(559), np.int64(22584)]","[4, 5, 9]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,15,True,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",
+,1.0,16,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,17,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,18,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,19,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,20,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,21,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,22,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,23,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,24,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,25,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,26,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,27,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,28,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,29,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,30,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,31,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,32,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,33,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,34,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,35,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,36,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,37,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,38,False,"[np.int64(535), np.int64(542), np.int64(20654)]","[4, 5, 9, 15]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,39,True,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",
+,1.0,40,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,41,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,42,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,43,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,44,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,45,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,46,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,47,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,48,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,49,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,50,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,51,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,52,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,53,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,54,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,55,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,56,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,57,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,58,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,59,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,60,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,61,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,62,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
+,1.0,63,False,"[np.int64(519), np.int64(529), np.int64(19796)]","[4, 5, 9, 15, 39]",SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
