Event,Time,SfcId,Result,Resource,Vnffgs,Solution,Reason
I,0.0,,,"[np.int64(16254), np.int64(24000000), np.int64(1100082)]",,,
+,4.0,0,False,"[np.int64(16254), np.int64(24000000), np.int64(1100082)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,4.0,1,False,"[np.int64(16254), np.int64(24000000), np.int64(1100082)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,8.0,2,False,"[np.int64(16254), np.int64(24000000), np.int64(1100082)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,12.0,3,False,"[np.int64(16254), np.int64(24000000), np.int64(1090226)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,13.0,4,False,"[np.int64(16254), np.int64(24000000), np.int64(1090226)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
-,13.966407448674474,1,False,"[np.int64(16254), np.int64(24000000), np.int64(1090226)]",[],,
+,15.0,5,False,"[np.int64(16254), np.int64(24000000), np.int64(1090226)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
-,17.4928108707196,0,False,"[np.int64(16254), np.int64(24000000), np.int64(1090226)]",[],,
-,18.301025489542557,4,False,"[np.int64(16254), np.int64(24000000), np.int64(1090226)]",[],,
-,18.694408504631266,3,False,"[np.int64(16254), np.int64(24000000), np.int64(1090226)]",[],,
+,19.0,6,False,"[np.int64(16254), np.int64(24000000), np.int64(1090226)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LINK_BAND
-,20.783624217082682,5,False,"[np.int64(16254), np.int64(24000000), np.int64(1082540)]",[],,
+,21.0,7,True,"[np.int64(16221), np.int64(23999971), np.int64(1081492)]",[7],"dict_values([13, 6, 14, 8, 14, 13])",
+,21.0,8,False,"[np.int64(16221), np.int64(23999971), np.int64(1081492)]",[7],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,23.0,9,False,"[np.int64(16221), np.int64(23999971), np.int64(1081492)]",[7],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,26.0,10,False,"[np.int64(16221), np.int64(23999971), np.int64(1081492)]",[7],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,28.0,11,False,"[np.int64(16221), np.int64(23999971), np.int64(1081492)]",[7],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
t,30.0,7,False,"[np.int64(16254), np.int64(24000000), np.int64(1078478)]",[],,SOLUTION_TYPE.CHANGE_FAILED_FOR_LATENCY
+,31.0,12,False,"[np.int64(16254), np.int64(24000000), np.int64(1078478)]",[],,SOLUTION_TYPE.SET_FAILED_FOR_LATENCY
+,34.0,13,True,"[np.int64(16229), np.int64(23999973), np.int64(1077518)]",[13],"dict_values([39, 6, 14, 8, 17])",
